Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,Medium-High,,,First Quality,,,,,,Pro Performance[10],,,,,0.012,Matte,,Hammer,Orange/Black/Silver,,2.51,234.5,500/2000 Abralon,2/14/2017,Asymmetric,,,,,0.050,13139,,,3 Year,Hammer Gauntlet,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13139/gauntlet.html,Gauntlet,,Heavy,Aggressive Mid-lane & Backend,,,Semtex Hybrid CFI,
,,"Medium (3-4"")",,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Pyramid,Orange Pearl,,2.54,199.80,2000 Grit Abralon/Factory Finish Polish,2/3/17,Symmetric,,,,,0.032,12542,,,2 Year,Pyramid Pathogen X,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/12542/pathogen-x.html,New Era 139,,Medium,Skid/Flip,,,GPS Navigational Pearl,
,,High,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Pyramid,Purple/Black/Silver,,2.49,211.50,2000 Grit Abralon/Factory Finish Polish,08/24/2016,Symmetric,,,,,.055,12547,,,2 Year,Pyramid Curse NEW ITEM,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/12547/curse-new-item.html,SG Equinox Symmetric,,Medium-Heavy,Devastating Backend,,,GPS Navigational ATX,
,,Medium-High,,,First Quality,,,,,,High Performance[8],HP3,73-75 on D-Scale,,,,Matte,,Roto Grip,Black/Teal/Red,,2.48,212.4,2000-Grit Pad,03/14/2017,Symmetric,,,,,0.041,13154,,,1 Year,Roto Grip Dare Devil Trick,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/13154/dare-devil-trick.html,Madcap,,Medium-Heavy,Mid-lane with  Continuous Backend,,,Reckless,
,,"5-6"" (High)",,,First Quality,,,,,,High Performance[8],,74 on D-Scale,,,,Polished,,Pyramid,Blue,,2.53,201.50,500 grit Abralon/Compound Polish,10/08/2014,Symmetric,,,,,0.050,11550,,,2 Year,Pyramid Blueprint Project 1.618 15 Only,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11550/blueprint-project-1618.html,SG 19.5 Symmetric,,Medium-Heavy,,,,GPS Navigational,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Pyramid,Aqua Blue/Silver Pearl,,2.54,181.3,1500 Grit Abralon/Factory Polish,8/24/2016,Symmetric,,,,,.032,12543,,,2 Year,Pyramid Path Rising Aqua/Silver Pearl NEW ITEM,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/12543/path-rising-aquasilver-pearl-new-item.html,New Era 139,,Medium-Dry,Length/Controlled Backend,,,Path Reactive,
,,High,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,DV8,Sky Blue/Pink/Black,,2.568,212.9,500 Siaair/Crown Factory Compound,01/17/2017,Symmetric,,,,,0.052,13127,,,2 Year,DV8 Diva Style Ltd Only,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/dv8/13127/diva-style.html,Diva,,Medium,All Purpose,,,Composite Pearl,
,,Medium,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Pyramid,Lime Green,,2.54,197.20,2000 Grit Abralon/Factory Finish Polish,11/11/2015,Symmetric,,,,,0.032,11987,,,1 Year,Pyramid Pathogen,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11987/pathogen.html,New Era 139,,Medium,Benchmark,,,GPS Navigational Solid,
,,High,,,First Quality,,,,Orange Clove,,Pro Performance[10],,,,,0.018,Matte,Premier,Storm,Navy/Electric/Orange,,2.48,235.6,2000 Grit Abralon,3/14/2017,Asymmetric,,,,,0.055,13155,,,1 Year,Storm Sure Lock,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13155/sure-lock.html,RAD-X,,Heavy,Mid-lane Control,,,GI-17 Solid,
,,High,,,First Quality,,,Hook,,,Pro Performance[10],,,,,0.013,Polished,,Brunswick,Black/Chrome/Gold Pearl,,2.477,228.9,500 Siaair/Crown Factory Compound,02/07/2017,Asymmetric,,,,,0.054,13143,,,1 Year,Brunswick True Nirvana 15 16 Only,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13143/true-nirvana.html,Nirvana Ultra Low RG,,Medium-Heavy,Angular with Medium-Heavy Conditions,,,ECS Hook Pearl,
